Kod,Nazwa,2022
201000,Powiat bolesławiecki,"6181,6"
202000,Powiat dzierżoniowski,"5723,65"
203000,Powiat głogowski,"5856,76"
204000,Powiat górowski,"5423,11"
205000,Powiat jaworski,"6142,84"
206000,Powiat karkonoski,"5627,61"
207000,Powiat kamiennogórski,"5550,65"
208000,Powiat kłodzki,"5670,31"
209000,Powiat legnicki,"6116,35"
210000,Powiat lubański,"5516,56"
211000,Powiat lubiński,"11361,51"
212000,Powiat lwówecki,"5580,03"
213000,Powiat milicki,"5313,76"
214000,Powiat oleśnicki,"5762,83"
215000,Powiat oławski,"6030,47"
216000,Powiat polkowicki,"6861,21"
217000,Powiat strzeliński,"6320,71"
218000,Powiat średzki (dolnośląski),"6315,5"
219000,Powiat świdnicki (dolnośląski),"6059,31"
220000,Powiat trzebnicki,"5852,88"
221000,Powiat wałbrzyski,"5431,27"
222000,Powiat wołowski,"7909,26"
223000,Powiat wrocławski,"7161,33"
224000,Powiat ząbkowicki,"5615,48"
225000,Powiat zgorzelecki,"5980,91"
226000,Powiat złotoryjski,"6235,18"
261000,Powiat Jelenia Góra,"6282,14"
262000,Powiat Legnica,"6068,54"
264000,Powiat Wrocław,"7391,95"
265000,Powiat Wałbrzych,"6731,24"
401000,Powiat aleksandrowski,"5256,91"
402000,Powiat brodnicki,"5179,2"
403000,Powiat bydgoski,"5793,56"
404000,Powiat chełmiński,"5339,74"
405000,Powiat golubsko-dobrzyński,"6015,41"
406000,Powiat grudziądzki,"5523,49"
407000,Powiat inowrocławski,"5655,28"
408000,Powiat lipnowski,"4910,26"
409000,Powiat mogileński,"5482,81"
410000,Powiat nakielski,"5907,85"
411000,Powiat radziejowski,"5248,74"
412000,Powiat rypiński,"5140,39"
413000,Powiat sępoleński,"5229,53"
414000,Powiat świecki,"5795,79"
415000,Powiat toruński,"5441,72"
416000,Powiat tucholski,"5164,79"
417000,Powiat wąbrzeski,"5653,97"
418000,Powiat włocławski,"5289,63"
419000,Powiat żniński,"5169,82"
461000,Powiat Bydgoszcz,"6435,59"
462000,Powiat Grudziądz,"5299,09"
463000,Powiat Toruń,"6450,47"
464000,Powiat Włocławek,"5892,16"
601000,Powiat bialski,"5288,19"
602000,Powiat biłgorajski,"5109,51"
603000,Powiat chełmski,"5126,89"
604000,Powiat hrubieszowski,"5487,37"
605000,Powiat janowski,"5574,12"
606000,Powiat krasnostawski,"5376,97"
607000,Powiat kraśnicki,"5139,37"
608000,Powiat lubartowski,"5250,01"
609000,Powiat lubelski,"5115,88"
610000,Powiat łęczyński,"8543,5"
611000,Powiat łukowski,"5256,57"
612000,Powiat opolski (lubelski),"5132,54"
613000,Powiat parczewski,"5399,11"
614000,Powiat puławski,"6254,05"
615000,Powiat radzyński,"5547,83"
616000,Powiat rycki,"5359,49"
617000,Powiat świdnicki (lubelski),"6162,15"
618000,Powiat tomaszowski (lubelski),"5100,78"
619000,Powiat włodawski,"5234,17"
620000,Powiat zamojski,"4926,9"
661000,Powiat Biała Podlaska,"5691,8"
662000,Powiat Chełm,"5619,61"
663000,Powiat Lublin,"6402,56"
664000,Powiat Zamość,"5875,74"
801000,Powiat gorzowski,"6162,2"
802000,Powiat krośnieński (lubuski),"5730,7"
803000,Powiat międzyrzecki,"5695,99"
804000,Powiat nowosolski,"5810,07"
805000,Powiat słubicki,"5920,34"
806000,Powiat strzelecko-drezdenecki,"5727,06"
807000,Powiat sulęciński,"5335,4"
808000,Powiat świebodziński,"6154,27"
809000,Powiat zielonogórski,"6162,35"
810000,Powiat żagański,"5468,2"
811000,Powiat żarski,"6172,02"
812000,Powiat wschowski,"5453,09"
861000,Powiat Gorzów Wielkopolski,"5890,85"
862000,Powiat Zielona Góra,"6462,8"
1001000,Powiat bełchatowski,"8140,22"
